variant,design,route_iters,gr_calls,gr_placement_iterations,intervening_refinement,selected_policy,actuation_frozen_round,def_sha256,status
G1_EQB15,des_perf_b_md1,15,16,734;1255;1762;2176;2590;3007;3433;3834;4251;4659;5067;5472;5866;6288;6699;7102,True,,3,25e4bab3cc78cad906f3b3384572774355350220be7040bc620ba274a52cd5ed,PASS
G1_EQB15,des_perf_b_md2,15,16,707;1109;1508;1911;2313;2716;3121;3505;3888;4288;4687;5086;5486;5889;6291;6690,True,,1,6594d4ab5602246b5b9e756cd0926de627c19f02bcd7ef3797cddc088f17d4a3,PASS
G1_EQB15,edit_dist_1_md1,15,16,703;1231;1762;2311;2861;3418;3981;4528;5080;5645;6199;6773;7252;7733;8188;8660,True,,12,d97820f4045efe4b203da108a07ae7a26aab86f9d0b0631096d1d7b745615343,PASS
G1_EQB15,edit_dist_a_md2,15,16,722;1305;1894;2511;3124;3755;4388;5033;5669;6304;6940;7582;8223;8740;9263;9785,True,,13,6067396fc90eff6f0b97c4ebeb44632e46e0ae15f373b7e0a373a94c1931c98d,PASS
G1_EQB15,fft_2_md2,15,16,629;1003;1379;1758;2138;2515;2887;3266;3644;4017;4395;4771;5143;5518;5896;6274,True,,1,daf0e3f47feedf99802b42ba155dd9a947a9184cec9a4584bc40ab7d5f3dda36,PASS
G1_EQB15,fft_a_md2,15,16,751;1357;1798;2252;2717;3165;3612;4054;4516;4974;5429;5885;6346;6809;7268;7728,True,,2,6919bd6406d5342e74824be68c9c6690854c86f4934cb7cda1b021b44dcd6b48,PASS
G1_EQB15,fft_a_md3,15,16,745;1365;1917;2327;2732;3116;3488;3900;4312;4718;5103;5478;5888;6293;6665;7073,True,,3,255c48cba60c8135b935684d579ed775997944238980a867c2fc600136e5dfc4,PASS
G1_EQB15,pci_bridge32_a_md1,15,16,706;1188;1665;2140;2617;3085;3572;4059;4543;5023;5490;5984;6460;6935;7413;7891,True,,1,63248ba9f89e34aa8a678696a12f1decf2a8cebca64ac1e5415fa3a8fbc645a1,PASS
G4_EQB15,des_perf_b_md1,15,16,734;1264;1784;2300;2809;3304;3789;4256;4722;5180;5635;6100;6547;6998;7465;7926,True,scalar,,d1e6af9bb900a6b6ad7aced8df2fdf41a574bd45775456743e1e4a9f32fa09c3,PASS
G4_EQB15,des_perf_b_md2,15,16,707;1222;1735;2243;2733;3236;3732;4219;4701;5178;5650;6122;6582;7033;7483;7940,True,scalar,,f2438e7b9cc0f3fe791f7f7ff1b55cb0ab42df7e41882c1f230e26b5c738c1b2,PASS
G4_EQB15,edit_dist_1_md1,15,16,703;1210;1712;2217;2724;3228;3730;4219;4706;5191;5675;6159;6643;7123;7604;8069,True,xy,,6909297fd8c2a5a68af067532e57819ecb01aa0e9e741201e5429c44f2481c16,PASS
G4_EQB15,edit_dist_a_md2,15,16,722;1302;1859;2421;2967;3502;4034;4559;5079;5581;6084;6601;7116;7627;8144;8668,True,scalar,,5edfb95885f78c8cab19bec40e66bc8e0f9bb9b170c599dcbeb0258a677f369b,PASS
G4_EQB15,fft_2_md2,15,16,629;1068;1492;1911;2331;2746;3160;3574;3988;4401;4803;5218;5630;6045;6450;6865,True,xy,,a4f1c150c9b5abe3aa4533273a2fb21945ef5bf65824b575941829246cb604b6,PASS
G4_EQB15,fft_a_md2,15,16,751;1405;1952;2479;3027;3598;4125;4676;5235;5787;6324;6884;7432;7979;8537;9084,True,scalar,,c13d84fd23b73fcb4087a4a832daca55beaf76c9420e4ea389cf51ab46d723f6,PASS
G4_EQB15,fft_a_md3,15,16,745;1401;1969;2518;3067;3619;4171;4728;5275;5823;6373;6927;7476;8017;8565;9130,True,scalar,,67d4b427a936a1e258bcbec63acf89a44608a19b1fb30015ebe81ffabb7f90fe,PASS
G4_EQB15,pci_bridge32_a_md1,15,16,706;1350;1935;2503;3052;3599;4162;4709;5240;5779;6326;6861;7388;7906;8454;8981,True,scalar,7,f35a82c4913b6e4796f0e075183ffeb1f2b3b6d053455b7763d2f01909089140,PASS
