design,input_type,sha256
des_perf_b_md1,LEF,ffb8b189e87dc16c8cd02b4d9305e2d96b6821fb5782e2adec8ce6575ef6b4bc
des_perf_b_md1,DEF,f071632f475bdf104cd7bbe3fb57d40e8a504a0a324a50f8d1121d933ea1a846
des_perf_b_md2,LEF,ffb8b189e87dc16c8cd02b4d9305e2d96b6821fb5782e2adec8ce6575ef6b4bc
des_perf_b_md2,DEF,b433853a61ff26137b5bb9d10582d8b9ea2f7fbf28d4fd3b5e11e869d80ee102
edit_dist_1_md1,LEF,3b1402653f0216b86a12f11243b15e0f86720104bad2ad8e51babba0fff03bc5
edit_dist_1_md1,DEF,eaf1ecd9c9119f97d284326ca59dddbfd609b7d15f03f3ba4a1f0fee5ccf443f
edit_dist_a_md2,LEF,86915fc4af18d9c187786e969093f1645fdd1eefaddccca50033cf6b7dd2e639
edit_dist_a_md2,DEF,df29328784b9902c2ad0046202bf40dff641ad75d98882e61e903c3465871bb1
fft_2_md2,LEF,e782636bd77ff5498ed56d2241f3d5bbf8b1dc67f9d0cc656d94a43e37e07a2d
fft_2_md2,DEF,e9a3166bfc8129c930e2544bd1aebe30dd04e50e9d947a3b621481300684044b
fft_a_md2,LEF,afbb05211dc7a2a2a2414ec9ee5d8704d3c8220f5c52cee3c9e344525f84ee69
fft_a_md2,DEF,16ffdd9a454344d8ef255c9ada91d3a878c8333cf191d8cdef69913506c2a85c
fft_a_md3,LEF,afbb05211dc7a2a2a2414ec9ee5d8704d3c8220f5c52cee3c9e344525f84ee69
fft_a_md3,DEF,13239657bddd8ce3a496dd4254f862c49617aa0b7b2361b16a03969bbba52709
pci_bridge32_a_md1,LEF,5b0e701bea72aa8b256a4d8ef0aea1494ba312f4fb06875d93defbef1d4e5ca1
pci_bridge32_a_md1,DEF,eeedfc48b6020e648cd42d04e16bd1fbe375b38167f1249e658cc5e336b1b578
