placer,design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
xplace_route,mgc_des_perf_1,1442781.67,575662,11558,18.759862184524536,958
xplace_route,mgc_des_perf_a,2314090.975,563106,9765,30.13075304031372,5147
xplace_route,mgc_des_perf_b,1761879.375,535264,2097,14.702411651611328,258
xplace_route,mgc_edit_dist_a,5712282.68,1008099,374775,37.140811920166016,1315
xplace_route,mgc_fft_1,508773.57,181429,3489,17.212189435958862,432
xplace_route,mgc_fft_2,588374.795,184052,2330,17.688133239746094,408
xplace_route,mgc_fft_a,1088365.705,187174,1384,20.78232455253601,599
xplace_route,mgc_fft_b,1299109.445,212075,14778,19.981167554855347,524
xplace_route,mgc_matrix_mult_1,2618935.4,811665,12961,36.31207895278931,2174
xplace_route,mgc_matrix_mult_2,2673351.57,848421,14590,36.285659313201904,4510
xplace_route,mgc_matrix_mult_a,3952626.69,840742,9416,28.30710244178772,1720
xplace_route,mgc_matrix_mult_b,3781237.86,797517,60580,16.511343002319336,759
xplace_route,mgc_matrix_mult_c,3669710.565,790431,7477,25.452349424362183,1292
xplace_route,mgc_pci_bridge32_a,618949.845,140434,1489,11.513115167617798,1044
xplace_route,mgc_pci_bridge32_b,965462.51,140767,157,17.23084306716919,76
xplace_route,mgc_superblue11_a,40876617.577,5579068,945,229.5093855857849,3178
xplace_route,mgc_superblue12,41948612.963,10770164,373884,555.3112761974335,11604
xplace_route,mgc_superblue14,28001262.599,4105734,325,287.12108302116394,3552
xplace_route,mgc_superblue16_a,31054616.037,4471494,2257,212.47724032402039,6402
xplace_route,mgc_superblue19,21371360.379,3503860,5265,260.08460545539856,2822
