placer,design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
xplace_route,mgc_des_perf_1,1442781.67,575662,11557,15.252999067306519,958
xplace_route,mgc_des_perf_a,2314090.975,563106,9765,29.28467845916748,5117
xplace_route,mgc_des_perf_b,1761879.375,535264,2097,14.214728116989136,253
xplace_route,mgc_edit_dist_a,5712282.68,1008099,374775,37.718456983566284,1330
xplace_route,mgc_fft_1,508773.57,181429,3489,18.106184720993042,432
xplace_route,mgc_fft_2,588374.795,184052,2330,18.611741304397583,408
xplace_route,mgc_fft_a,1088365.705,187174,1384,21.1411235332489,599
xplace_route,mgc_fft_b,1299109.445,212075,14778,19.480520009994507,524
xplace_route,mgc_matrix_mult_1,2618935.4,811665,12961,36.37468194961548,2174
xplace_route,mgc_matrix_mult_2,2673351.57,848421,14590,38.338122606277466,4510
xplace_route,mgc_matrix_mult_a,3952626.69,840742,9416,29.301034450531006,1720
xplace_route,mgc_matrix_mult_b,3781237.86,797517,60590,15.927714109420776,753
xplace_route,mgc_matrix_mult_c,3669710.565,790431,7477,25.42825174331665,1301
xplace_route,mgc_pci_bridge32_a,618949.845,140434,1489,11.352445602416992,1101
xplace_route,mgc_pci_bridge32_b,965362.51,140767,157,16.868921279907227,76
xplace_route,mgc_superblue11_a,40876617.577,5579068,945,232.81947541236877,3071
xplace_route,mgc_superblue12,44768453.316,10197888,8568,607.834144115448,8160
xplace_route,mgc_superblue14,28001262.599,4105734,325,281.4099793434143,3327
xplace_route,mgc_superblue16_a,31054616.037,4471494,2257,204.39920234680176,6576
xplace_route,mgc_superblue19,20739056.309,3421193,2307,278.48857140541077,2593
