design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
mgc_des_perf_1,1441468.52,576482.0,11634.0,20.02880859375,1218.0
mgc_des_perf_a,2313190.855,562959.0,9843.0,31.949271202087402,5509.0
mgc_des_perf_b,1757112.125,534220.0,2026.0,21.660404920578003,268.0
mgc_edit_dist_a,5717316.7,1009395.0,373694.0,43.906816482543945,1396.0
mgc_fft_1,509482.42,181470.0,3458.0,22.527756214141846,640.0
mgc_fft_2,591872.62,185075.0,2398.0,22.276676177978516,676.0
mgc_fft_a,1092173.825,188495.0,1593.0,26.28138518333435,996.0
mgc_fft_b,1294670.02,211333.0,14237.0,24.990091562271118,793.0
mgc_matrix_mult_1,2609290.815,809605.0,13365.0,42.952786922454834,3013.0
mgc_matrix_mult_2,2678279.02,848555.0,13193.0,43.39793586730957,5298.0
mgc_matrix_mult_a,3967945.445,847663.0,8849.0,43.9680233001709,2743.0
mgc_matrix_mult_b,3801289.965,803960.0,49321.0,27.35851812362671,878.0
mgc_matrix_mult_c,3644417.125,796851.0,8121.0,33.8540997505188,1839.0
mgc_pci_bridge32_a,624195.745,140333.0,2001.0,7.311075448989868,1419.0
mgc_pci_bridge32_b,952674.075,141787.0,145.0,14.29659628868103,82.0
mgc_superblue11_a,41000863.047,5594511.0,928.0,257.41332364082336,3558.0
mgc_superblue12,44462311.418,10226881.0,10696.0,661.7988119125366,11226.0
mgc_superblue14,28057530.009,4098048.0,341.0,322.13653230667114,3399.0
mgc_superblue16_a,31625516.772,4581793.0,1478.0,201.42445588111877,6173.0
mgc_superblue19,20739056.309,3421193.0,2307.0,297.7524166107178,2669.0
