design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
mgc_des_perf_1,1441468.52,576482.0,11634.0,15.899854898452759,1389.0
mgc_des_perf_a,2313190.855,562959.0,9843.0,29.55992817878723,4381.0
mgc_des_perf_b,1757112.125,534220.0,2026.0,19.51272463798523,292.0
mgc_edit_dist_a,5717316.7,1009395.0,373694.0,42.54860734939575,1708.0
mgc_fft_1,509482.42,181470.0,3458.0,20.245925664901733,618.0
mgc_fft_2,591872.62,185075.0,2398.0,20.803793907165527,636.0
mgc_fft_a,1138283.535,190199.0,1348.0,19.99507236480713,1093.0
mgc_fft_b,1334635.685,214909.0,14132.0,24.695717573165894,851.0
mgc_matrix_mult_1,2609290.815,809605.0,13365.0,41.48541617393494,2914.0
mgc_matrix_mult_2,2678279.02,848555.0,13193.0,41.60954833030701,5068.0
mgc_matrix_mult_a,3958079.865,836538.0,6839.0,33.411797523498535,5725.0
mgc_matrix_mult_b,3783267.995,786285.0,44549.0,26.259138822555542,918.0
mgc_matrix_mult_c,3571710.655,771187.0,6493.0,24.13280725479126,1134.0
mgc_pci_bridge32_a,624195.745,140333.0,2001.0,7.0985705852508545,1481.0
mgc_pci_bridge32_b,952674.075,141787.0,145.0,13.71709156036377,84.0
mgc_superblue11_a,41181313.709,5499516.0,846.0,352.6635856628418,4223.0
mgc_superblue12,41717504.369,10813386.0,340729.0,624.8890821933746,14638.0
mgc_superblue14,28057530.009,4098048.0,341.0,324.8399155139923,3512.0
mgc_superblue16_a,31625516.772,4581793.0,1478.0,197.01723837852478,6629.0
mgc_superblue19,20739056.309,3421193.0,2307.0,297.1396789550781,2558.0
