design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
mgc_des_perf_1,1438131.01,576878.0,12029.0,15.695924520492554,1264.0
mgc_des_perf_a,2313190.855,562959.0,9843.0,30.456558227539062,4404.0
mgc_des_perf_b,1757112.125,534220.0,2026.0,20.149012088775635,294.0
mgc_edit_dist_a,5717316.7,1009395.0,373694.0,43.821667432785034,1753.0
mgc_fft_1,508663.71,181882.0,3538.0,20.804824113845825,652.0
mgc_fft_2,593052.665,185421.0,2380.0,21.71389126777649,674.0
mgc_fft_a,1138283.535,190199.0,1348.0,21.40802264213562,1090.0
mgc_fft_b,1334635.685,214909.0,14132.0,25.584154844284058,843.0
mgc_matrix_mult_1,2609290.815,809605.0,13365.0,41.60059475898743,3040.0
mgc_matrix_mult_2,2668606.88,845931.0,13510.0,42.164528608322144,5253.0
mgc_matrix_mult_a,3958079.865,836538.0,6839.0,33.977219581604004,5767.0
mgc_matrix_mult_b,3783267.995,786285.0,44549.0,27.17669177055359,895.0
mgc_matrix_mult_c,3571710.655,771187.0,6493.0,25.49617290496826,1134.0
mgc_pci_bridge32_a,624195.745,140333.0,2001.0,7.230382204055786,1496.0
mgc_pci_bridge32_b,952674.075,141787.0,145.0,13.990541696548462,97.0
mgc_superblue11_a,41181313.709,5499516.0,846.0,357.28488993644714,4021.0
mgc_superblue12,44462311.418,10226881.0,10696.0,662.2605741024017,10938.0
mgc_superblue14,28057530.009,4098048.0,341.0,323.05618715286255,3450.0
mgc_superblue16_a,31625516.772,4581793.0,1478.0,194.28239464759827,6671.0
mgc_superblue19,20825788.359,3426497.0,3398.0,294.52522110939026,2938.0
