design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
mgc_des_perf_1,1441468.52,576482.0,11634.0,17.408066034317017,1247.0
mgc_des_perf_a,2313190.855,562959.0,9843.0,30.34844207763672,5400.0
mgc_des_perf_b,1757112.125,534220.0,2026.0,19.91018009185791,263.0
mgc_edit_dist_a,5717316.7,1009395.0,373694.0,43.658397912979126,1440.0
mgc_fft_1,509482.42,181470.0,3458.0,20.929349660873413,616.0
mgc_fft_2,591872.62,185075.0,2398.0,20.63434362411499,674.0
mgc_fft_a,1092173.825,188495.0,1593.0,25.824471473693848,929.0
mgc_fft_b,1294670.02,211333.0,14237.0,24.111353874206543,773.0
mgc_matrix_mult_1,2609290.815,809605.0,13365.0,42.576128005981445,3040.0
mgc_matrix_mult_2,2678279.02,848555.0,13193.0,42.70299220085144,5400.0
mgc_matrix_mult_a,3967945.445,847663.0,8849.0,43.09995412826538,2919.0
mgc_matrix_mult_b,3801289.965,803960.0,49321.0,27.462564706802368,878.0
mgc_matrix_mult_c,3644417.125,796851.0,8121.0,34.288432121276855,1845.0
mgc_pci_bridge32_a,624195.745,140333.0,2001.0,7.294571399688721,1444.0
mgc_pci_bridge32_b,952674.075,141787.0,145.0,14.094746112823486,83.0
mgc_superblue11_a,41000863.047,5594511.0,928.0,264.31284618377686,3792.0
mgc_superblue12,44462311.418,10226881.0,10696.0,662.0067503452301,10960.0
mgc_superblue14,28057530.009,4098048.0,341.0,323.6660461425781,3466.0
mgc_superblue16_a,31625516.772,4581793.0,1478.0,196.88029432296753,6239.0
mgc_superblue19,20739056.309,3421193.0,2307.0,300.2117545604706,2621.0
