design,base_category,mean,top1_mass,connected_total_mass,hv_imbalance,probe_overflow_gain,mean_margin,top1_margin,connected_margin,hv_margin,probe_margin,nearest_policy_change_margin,nearest_boundary
mgc_des_perf_1,xy,0.01963705,0.19975186,0.01861107,3.66018265,,0.963705,-0.001241,-0.813889,0.220061,,0.220061,hv_exit_xy
mgc_des_perf_a,scalar,0.02227593,0.1124214,0.03590167,1.54662894,0.1392506,1.227593,-0.437893,-0.640983,-0.484457,2.392506,0.484457,hv_enter_xy
mgc_des_perf_b,scalar,0.00037195,1.0,0.02875011,1.85105919,0.06790433,-0.962805,4.000000,-0.712499,-0.382980,1.679043,0.382980,hv_enter_xy
mgc_edit_dist_a,scalar,0.05503801,0.07279163,0.01472428,1.05276279,-0.03473344,4.503801,-0.636042,-0.852757,-0.649079,0.652666,0.649079,hv_enter_xy
mgc_fft_1,xy,0.01560664,0.1934998,0.0078064,6.61157463,,0.560664,-0.032501,-0.921936,1.203858,,1.203858,hv_exit_xy
mgc_fft_2,xy,0.00161672,0.63783854,0.01489071,88.09303021,,-0.838328,2.189193,-0.851093,28.364343,,28.364343,hv_exit_xy
mgc_fft_a,no_deflation,0.00956961,0.16781478,0.06516817,1.93853502,-0.26372315,-0.043039,-0.160926,-0.348318,-0.353822,-1.637231,0.353822,hv_enter_xy
mgc_fft_b,no_deflation,0.01167075,0.17528718,0.0575909,1.24680821,-0.16302953,0.167075,-0.123564,-0.424091,-0.584397,-0.630295,0.584397,hv_enter_xy
mgc_matrix_mult_1,scalar,0.0252953,0.1809663,0.13724238,2.80408921,-0.00162887,1.529530,-0.095169,0.372424,-0.065304,0.983711,0.065304,hv_enter_xy
mgc_matrix_mult_2,xy,0.02012705,0.19804537,0.03409418,3.06961978,,1.012705,-0.009773,-0.659058,0.023207,,0.023207,hv_exit_xy
mgc_matrix_mult_a,no_deflation,0.00549918,0.26285857,0.07898768,1.85952846,-0.56468,-0.450082,0.314293,-0.210123,-0.380157,-4.646800,0.380157,hv_enter_xy
mgc_matrix_mult_b,no_deflation,0.00437032,0.37159886,0.11850175,1.55017509,-0.25990994,-0.562968,0.857994,0.185017,-0.483275,-1.599099,0.483275,hv_enter_xy
mgc_matrix_mult_c,no_deflation,0.00557688,0.28851545,0.04406328,1.96337132,-0.2056674,-0.442312,0.442577,-0.559367,-0.345543,-1.056674,0.345543,hv_enter_xy
mgc_pci_bridge32_a,scalar,0.01321154,0.16016807,0.01299628,1.26925682,0.1583392,0.321154,-0.199160,-0.870037,-0.576914,2.583392,0.576914,hv_enter_xy
mgc_pci_bridge32_b,scalar,0.01394405,0.12029764,0.01340725,2.03198485,0.4149208,0.394405,-0.398512,-0.865928,-0.322672,5.149208,0.322672,hv_enter_xy
mgc_superblue11_a,no_deflation,0.00116727,0.99949166,0.06064726,1.32786502,-0.11820281,-0.883273,3.997458,-0.393527,-0.557378,-0.182028,0.182028,probe
mgc_superblue12,legacy,0.01763671,0.41886517,0.14072804,4.78087261,,0.763671,1.094326,0.407280,0.593624,,0.407280,connected
mgc_superblue14,scalar,0.00173139,0.96486746,0.04614884,1.2654628,-0.01312509,-0.826861,3.824337,-0.538512,-0.578179,0.868749,0.578179,hv_enter_xy
mgc_superblue16_a,scalar,0.00367975,0.87263496,0.11606246,2.8535823,0.05171448,-0.632025,3.363175,0.160625,-0.048806,1.517145,0.048806,hv_enter_xy
mgc_superblue19,xy,0.00289284,0.76246296,0.06203092,4.5702986,,-0.710716,2.812315,-0.379691,0.523433,,0.523433,hv_exit_xy
