placer,design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
xplace_route,mgc_des_perf_1,1462854.955,581282,20622,11,1412
xplace_route,mgc_des_perf_a,2322520.885,561087,29794,8,346
xplace_route,mgc_des_perf_b,1779424.315,549787,15985,8,1013
xplace_route,mgc_edit_dist_a,5662187.07,996867,404322,10,1354
xplace_route,mgc_fft_1,509112.49,182275,7655,5,623
xplace_route,mgc_fft_2,592659.895,184735,8748,5,242
xplace_route,mgc_fft_a,1091739.615,189249,5046,5,711
xplace_route,mgc_fft_b,1270358.28,202930,34949,6,457
xplace_route,mgc_matrix_mult_1,2672088.84,798098,77985,9,723
xplace_route,mgc_matrix_mult_2,2698648.93,834737,53937,10,896
xplace_route,mgc_matrix_mult_a,3880899.87,849560,26177,11,2618
xplace_route,mgc_matrix_mult_b,3656975.635,780195,67028,10,694
xplace_route,mgc_matrix_mult_c,3711710.23,802580,26322,10,2572
xplace_route,mgc_pci_bridge32_a,619480.1,143101,5065,5,1403
xplace_route,mgc_pci_bridge32_b,969213.45,143501,2707,5,189
xplace_route,mgc_superblue11_a,40621477.97,5607817,1223,44,3829
xplace_route,mgc_superblue12,42774303.04,10589203,3102198,62,13940
xplace_route,mgc_superblue14,27999905.23,4268711,336,31,6766
xplace_route,mgc_superblue16_a,31535024.4,4574970,4154,33,9112
xplace_route,mgc_superblue19,20716957.24,3534744,9338,25,4842
