placer,design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
xplace_route,mgc_des_perf_1,1441468.52,576482,11634,15.525031805038452,926
xplace_route,mgc_des_perf_a,2292123.06,561656,8794,29.579392194747925,4226
xplace_route,mgc_des_perf_b,1756976.44,534622,1857,24.97050404548645,261
xplace_route,mgc_edit_dist_a,5681716.78,2005413,371272,38.2648286819458,1336
xplace_route,mgc_fft_1,509482.42,181470,3458,19.749772310256958,392
xplace_route,mgc_fft_2,586555.445,184773,2306,19.917137622833252,416
xplace_route,mgc_fft_a,1138283.535,190199,1348,20.821963787078857,638
xplace_route,mgc_fft_b,1334635.685,214909,14132,23.88984251022339,549
xplace_route,mgc_matrix_mult_1,2608216.435,808984,13244,37.651981592178345,1903
xplace_route,mgc_matrix_mult_2,2678279.02,848555,13193,40.25788331031799,3057
xplace_route,mgc_matrix_mult_a,3958079.865,836538,6839,34.16075253486633,3545
xplace_route,mgc_matrix_mult_b,3783267.995,786285,44549,27.613500356674194,774
xplace_route,mgc_matrix_mult_c,3571710.655,771187,6493,25.200767040252686,1047
xplace_route,mgc_pci_bridge32_a,629802.44,143077,1435,16.044911861419678,824
xplace_route,mgc_pci_bridge32_b,943558.93,141857,104,12.99309754371643,76
xplace_route,mgc_superblue11_a,41181313.709,5499516,846,335.6162486076355,3373
xplace_route,mgc_superblue12,44768453.316,10197888,8568,614.4497215747833,8578
xplace_route,mgc_superblue14,28001262.599,4105734,325,283.4637358188629,3325
xplace_route,mgc_superblue16_a,31054616.037,4471494,2257,208.2124171257019,6893
xplace_route,mgc_superblue19,20739056.309,3421193,2307,275.98276710510254,2645
