design,E0_DRWL,E0_DRVias,E0_DRCs,E0_PT_s,E0_RT_s,E1_DRWL,E1_DRVias,E1_DRCs,E1_PT_s,E1_RT_s,E4_DRWL,E4_DRVias,E4_DRCs,E4_PT_s,E4_RT_s
mgc_des_perf_1,1462811.745,581207.0,20562.0,9.778857707977295,1838.0,1502076.1,580452.0,11916.0,11.145167827606201,2449.0,1441468.52,576482.0,11634.0,19.51036500930786,1194.0
mgc_des_perf_a,2322576.93,561458.0,29964.0,6.903601408004761,566.0,2522312.785,561220.0,50383.0,36.66576075553894,393.0,2313190.855,562959.0,9843.0,31.770328044891357,4374.0
mgc_des_perf_b,1779556.305,549941.0,15975.0,7.457644939422607,1406.0,1839021.285,514520.0,2010.0,9.483630895614624,288.0,1757112.125,534220.0,2026.0,21.62704300880432,280.0
mgc_edit_dist_a,5662148.305,996254.0,403997.0,9.176506996154785,2000.0,5829761.375,1000486.0,471427.0,43.98953318595886,1463.0,5717316.7,1009395.0,373694.0,44.7121057510376,1716.0
mgc_fft_1,509333.39,182314.0,7843.0,4.168043851852417,997.0,522234.78,177012.0,3683.0,16.21848750114441,680.0,509482.42,181470.0,3458.0,21.877708673477173,648.0
mgc_fft_2,592251.58,184475.0,8803.0,3.8876500129699707,379.0,606557.96,180713.0,2587.0,6.0623273849487305,900.0,591872.62,185075.0,2398.0,22.060920238494873,659.0
mgc_fft_a,1092085.94,189525.0,5115.0,4.044145584106445,1056.0,1129785.29,180036.0,1511.0,4.991154670715332,590.0,1138283.535,190119.0,1348.0,21.355450868606567,1143.0
mgc_fft_b,1270491.515,202811.0,35300.0,5.103281021118164,710.0,1322776.665,205500.0,16039.0,13.44630217552185,494.0,1334635.685,214909.0,14132.0,26.112646102905273,831.0
mgc_matrix_mult_1,2672477.66,797926.0,78245.0,8.924727201461792,1256.0,2643972.7,781977.0,14210.0,32.42253661155701,2881.0,2609290.815,809605.0,13365.0,42.83306336402893,3058.0
mgc_matrix_mult_2,2697248.92,834924.0,53699.0,8.248376369476318,1454.0,2703310.81,823278.0,14850.0,32.4672315120697,4021.0,2678279.02,848555.0,13193.0,43.09705853462219,5417.0
mgc_matrix_mult_a,3880656.98,849499.0,26132.0,9.739262342453003,4349.0,4024855.365,811100.0,6882.0,11.855127573013306,4518.0,3958079.865,836538.0,6839.0,34.56457757949829,5681.0
mgc_matrix_mult_b,3656645.285,780504.0,67258.0,8.639538764953613,994.0,3743239.915,735164.0,56504.0,9.817967653274536,839.0,3783267.995,786285.0,44549.0,27.243760585784912,920.0
mgc_matrix_mult_c,3711882.165,802966.0,26270.0,8.20911431312561,3288.0,3761570.02,749577.0,7678.0,9.571044206619263,3355.0,3571710.655,771187.0,6493.0,25.279000282287598,1094.0
mgc_pci_bridge32_a,618059.98,142620.0,5046.0,3.7460525035858154,1192.0,640518.47,134805.0,2149.0,4.150527477264404,1204.0,624195.745,140333.0,2001.0,7.1518332958221436,1517.0
mgc_pci_bridge32_b,968995.2,143457.0,2704.0,3.8261446952819824,165.0,1011453.645,136659.0,362.0,4.520282983779907,105.0,952674.075,141787.0,145.0,13.812269926071167,89.0
mgc_superblue11_a,40623288.652,5614317.0,1246.0,41.54592323303223,3978.0,40621477.974,5607817.0,1223.0,55.718772411346436,3588.0,41181313.709,5499516.0,846.0,357.04127407073975,4114.0
mgc_superblue12,42776850.043,10593682.0,3102568.0,58.60098600387573,16631.0,43777836.682,10318973.0,14025.0,368.2367515563965,9325.0,44462311.418,10226881.0,10696.0,664.2190535068512,10846.0
mgc_superblue14,28001277.772,4275082.0,333.0,29.600345611572266,6510.0,27999905.227,4268711.0,336.0,46.29653239250183,6536.0,28057530.009,4098048.0,341.0,325.24569177627563,3497.0
mgc_superblue16_a,31537174.229,4579627.0,4000.0,30.790565729141235,8964.0,31535024.403,4574970.0,4154.0,52.05725860595703,11222.0,31625516.722,4581793.0,1478.0,202.4495313167572,6413.0
mgc_superblue19,20718439.257,3535785.0,9411.0,22.71988344192505,4835.0,20735257.42,3509147.0,5855.0,55.75441336631775,4115.0,20739056.309,3421193.0,2307.0,298.2640061378479,2577.0
average_ratio_vs_E4,0.9950627524867324,1.0071914032614921,18.28918237472863,0.23340812269650063,1.3776932653742795,1.0184035139021936,0.9822393604646342,1.555172499407417,0.48546011620861923,1.1463638354017305,1.0,1.0,1.0,1.0,1.0
