design,base_category,mean,top1_mass,connected_total_mass,hv_imbalance,overflow_net_ratio,probe_overflow_gain
mgc_des_perf_1,xy,0.01963705,0.19975186,0.01861107,3.66018265,0.23501479,
mgc_des_perf_a,scalar,0.02227593,0.1124214,0.03590167,1.54662894,0.10236577,0.1392506
mgc_des_perf_b,scalar,0.00037195,1.0,0.02875011,1.85105919,0.05296869,0.06790433
mgc_edit_dist_a,scalar,0.05503801,0.07279163,0.01472428,1.05276279,0.41539189,-0.03473344
mgc_fft_1,xy,0.01560664,0.1934998,0.0078064,6.61157463,0.268352,
mgc_fft_2,xy,0.00161672,0.63783854,0.01489071,88.09303021,0.25697301,
mgc_fft_a,no_deflation,0.00956961,0.16781478,0.06516817,1.93853502,0.15669409,-0.26372315
mgc_fft_b,no_deflation,0.01167075,0.17528718,0.0575909,1.24680821,0.29132386,-0.16302953
mgc_matrix_mult_1,scalar,0.0252953,0.1809663,0.13724238,2.80408921,0.29819526,-0.00162887
mgc_matrix_mult_2,xy,0.02012705,0.19804537,0.03409418,3.06961978,0.29037325,
mgc_matrix_mult_a,no_deflation,0.00549918,0.26285857,0.07898768,1.85952846,0.12375878,-0.56468
mgc_matrix_mult_b,no_deflation,0.00437032,0.37159886,0.11850175,1.55017509,0.08935309,-0.25990994
mgc_matrix_mult_c,no_deflation,0.00557688,0.28851545,0.04406328,1.96337132,0.09566525,-0.2056674
mgc_pci_bridge32_a,scalar,0.01321154,0.16016807,0.01299628,1.26925682,0.04739036,0.1583392
mgc_pci_bridge32_b,scalar,0.01394405,0.12029764,0.01340725,2.03198485,0.06652616,0.4149208
mgc_superblue11_a,no_deflation,0.00116727,0.99949166,0.06064726,1.32786502,0.11708794,-0.11820281
mgc_superblue12,legacy,0.01763671,0.41886517,0.14072804,4.78087261,0.25505929,
mgc_superblue14,scalar,0.00173139,0.96486746,0.04614884,1.2654628,0.16118361,-0.01312509
mgc_superblue16_a,scalar,0.00367975,0.87263496,0.11606246,2.8535823,0.16904846,0.05171448
mgc_superblue19,xy,0.00289284,0.76246296,0.06203092,4.5702986,0.29002396,
