threshold,delta_percent,base_threshold,perturbed_threshold,changed_count,unchanged_count,stability_percent,changed_designs
strong_hotspot_mean,-10,0.01000000,0.00900000,0,20,100.00,
strong_hotspot_mean,-5,0.01000000,0.00950000,0,20,100.00,
strong_hotspot_mean,5,0.01000000,0.01050000,0,20,100.00,
strong_hotspot_mean,10,0.01000000,0.01100000,0,20,100.00,
top1_mass,-10,0.20000000,0.18000000,1,19,95.00,mgc_matrix_mult_1
top1_mass,-5,0.20000000,0.19000000,0,20,100.00,
top1_mass,5,0.20000000,0.21000000,0,20,100.00,
top1_mass,10,0.20000000,0.22000000,0,20,100.00,
connected_total_mass,-10,0.10000000,0.09000000,0,20,100.00,
connected_total_mass,-5,0.10000000,0.09500000,0,20,100.00,
connected_total_mass,5,0.10000000,0.10500000,0,20,100.00,
connected_total_mass,10,0.10000000,0.11000000,0,20,100.00,
hv_imbalance,-10,3.00000000,2.70000000,2,18,90.00,mgc_matrix_mult_1;mgc_superblue16_a
hv_imbalance,-5,3.00000000,2.85000000,1,19,95.00,mgc_superblue16_a
hv_imbalance,5,3.00000000,3.15000000,1,19,95.00,mgc_matrix_mult_2
hv_imbalance,10,3.00000000,3.30000000,1,19,95.00,mgc_matrix_mult_2
negative_probe_gain,-10,-0.10000000,-0.09000000,0,20,100.00,
negative_probe_gain,-5,-0.10000000,-0.09500000,0,20,100.00,
negative_probe_gain,5,-0.10000000,-0.10500000,0,20,100.00,
negative_probe_gain,10,-0.10000000,-0.11000000,0,20,100.00,
